index,0,1,2,3,4,5,6,7,8,9,10
272,CYOC_ECOLI,0.12,0.67,0.48,0.5,0.74,0.58,0.63,0.07,0.76,im
273,CYOD_ECOLI,0.4,0.5,0.48,0.5,0.65,0.82,0.84,0.89,0.05,im
274,FADL_ECOLI,0.78,0.68,0.48,0.5,0.83,0.4,0.29,0.16,0.51,om
275,OMPP_ECOLI,0.69,0.59,0.48,0.5,0.77,0.39,0.21,0.6,0.1,om
276,PROX_ECOLI,0.64,0.78,0.48,0.5,0.5,0.36,0.38,0.11,0.7,pp
277,TYRP_ECOLI,0.86,0.55,0.48,0.5,0.63,0.81,0.83,0.46,0.49,imU
278,SECG_ECOLI,0.84,0.54,0.48,0.5,0.75,0.92,0.7,0.69,0.02,imU
279,GLYA_ECOLI,0.17,0.38,0.48,0.5,0.45,0.42,0.5,0.45,0.26,cp
280,CYPB_ECOLI,0.3,0.16,0.48,0.5,0.56,0.11,0.23,0.7,0.01,cp
281,BETT_ECOLI,0.52,0.39,0.48,0.5,0.65,0.71,0.73,0.65,0.28,im
282,POTF_ECOLI,0.66,0.71,0.48,0.5,0.41,0.5,0.35,0.09,0.71,pp
283,ECPD_ECOLI,0.64,0.72,0.48,0.5,0.49,0.42,0.19,0.2,0.02,pp
284,PTFA_ECOLI,0.34,0.46,0.48,0.5,0.52,0.35,0.44,0.47,0.64,cp
285,PT1A_ECOLI,0.5,0.49,0.48,0.5,0.49,0.46,0.53,0.2,0.25,cp
286,CHEA_ECOLI,0.25,0.4,0.48,0.5,0.46,0.44,0.52,0.97,0.72,cp
287,YCEE_ECOLI,0.52,0.54,0.48,0.5,0.62,0.76,0.79,0.39,0.36,im
288,GCVA_ECOLI,0.4,0.5,0.48,0.5,0.45,0.39,0.47,0.33,0.42,cp
289,NFRA_ECOLI,0.61,0.75,0.48,0.5,0.51,0.33,0.33,0.41,0.69,om
290,MALZ_ECOLI,0.36,0.41,0.48,0.5,0.48,0.47,0.54,0.13,0.14,cp
291,ARAE_ECOLI,0.23,0.48,0.48,0.5,0.59,0.88,0.89,0.63,0.04,im
292,RND_ECOLI,0.44,0.49,0.48,0.5,0.39,0.38,0.4,0.17,0.52,cp
293,FECR_ECOLI,0.32,0.39,0.48,0.5,0.53,0.28,0.38,0.83,0.55,pp
294,EMRA_ECOLI,0.06,0.61,0.48,0.5,0.49,0.92,0.37,0.06,0.69,im
295,TONB_ECOLI,0.57,0.38,0.48,0.5,0.06,0.49,0.33,0.24,0.25,imU
296,TBPA_ECOLI,0.56,0.54,0.48,0.5,0.43,0.37,0.3,0.71,0.37,pp
297,METR_ECOLI,0.52,0.57,0.48,0.5,0.42,0.47,0.54,0.86,0.1,cp
298,KGTP_ECOLI,0.45,0.4,0.48,0.5,0.61,0.74,0.77,0.12,0.24,im
299,UGPQ_ECOLI,0.26,0.4,0.48,0.5,0.36,0.26,0.37,0.88,0.52,cp
